cluster_name,attempts,start_ts,end_ts,failed,completed,vm_count,build_name,with_conda,with_conda_version,with_docker,with_docker_version,with_flavor,with_foundation,with_foundation_version,with_gemfire,with_gemfire_version,with_image,with_java_version,with_kubernetes,with_kubernetes_version,with_memcached,with_memcached_version,with_oracle,with_oracle_version,with_os_version,with_postgresql,with_postgresql_version,with_tibco,with_tibco_version,with_ulticom,with_ulticom_version
kalexey.20181227174135,1,1545922452338,1545923103007,False,True,13,20181227_174049_Proj_2127259257,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,False,8.2.1,_default_,1.7.0_51,False,1.10.4,False,_default_,False,11.2.0,rhel7.3,False,9.5,False,8.4.5,False,_default_
sdmitry.20181128184423,1,1543421316335,1543421667461,False,True,1,20181128_183651_Proj_1735463230,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,True,8.2.5,_default_,1.8.0_131,False,1.10.4,False,_default_,True,11.2.0,rhel7.4,False,9.5,False,8.4.5,False,_default_
igarus.20181221190350,2,1545408262310,1545409537436,False,True,14,20181220_115814_Proj_2696985,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,True,1.3-amdocs,_default_,1.8.0_152,False,1.10.4,False,_default_,False,11.2.0,rhel7.4,False,9.5,False,8.4.5,True,9s65
sdmitry.20181211190002,1,1544544132560,1544544935177,False,True,9,20181211_161447_Proj_2631643,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,True,10.0.0.pb02,True,8.2.5,_default_,1.8.0_152,False,1.10.4,False,_default_,True,11.2.0,rhel7.4,False,9.5,False,8.4.5,False,_default_
abondar.20181207141530,1,1544181372440,1544181831985,False,True,4,20181207_083303_Proj_1027219150,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,True,8.2.1,_default_,1.7.0_51,False,1.10.4,False,_default_,True,11.2.0,rhel7.3,False,9.5,False,8.4.5,False,_default_
kalexey.20181227072109,1,1545884532385,1545885127105,False,True,13,20181226_174418_Proj_2127259257,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,False,8.2.1,_default_,1.7.0_51,False,1.10.4,False,_default_,False,11.2.0,rhel7.3,False,9.5,False,8.4.5,False,_default_
maximo.20181130172742,1,1543588116338,1543588336672,True,True,4,20181130_133648_Proj_2409,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,False,8.2.1,_default_,1.7.0_51,False,1.10.4,False,_default_,False,11.2.0,rhel6.9,False,9.5,False,8.4.5,False,_default_
edrojdina.20181206155824,1,1544102532566,1544102893012,False,True,3,20181206_143754_Proj_1027219150,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,True,10.0.0.pb02,True,8.2.1,_default_,1.7.0_51,False,1.10.4,False,_default_,True,11.2.0,rhel7.3,False,9.5,False,8.4.5,False,_default_
nazarov.20181212152410,1,1544617573021,1544617977311,False,True,1,20181210_133821_Proj_73134446,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,True,10.0.0.pb02,False,8.2.1,_default_,1.8.0_74,False,1.10.4,False,_default_,True,11.2.0,rhel7.3,False,9.5,False,8.4.5,False,_default_
glungu.20181212000220.16171,2,1544570912999,1544571929867,False,True,15,20181212_000220_Proj_189425416,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,False,8.2.1,_default_,1.8.0_121,False,1.10.4,False,_default_,False,11.2.0,rhel7.4,False,9.5,False,8.4.5,False,_default_
